Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,Day_Perc_Change,Trend,ave,upper,lower
2019-03-11,HDFCBANK,EQ,2128.2,2132.0,2143.7,2122.2,2127.5,2128.45,2131.9,2306027,4916219772.55,81824,1521179,65.97,Mar-2019,0.011747016257879215,Slight or No Change,2105.961,2141.599,2070.322
2019-03-12,HDFCBANK,EQ,2128.45,2147.0,2175.0,2137.0,2168.0,2171.0,2154.73,3774323,8132629564.25,119425,2437537,64.58,Mar-2019,1.9991073316263157,Positve,2112.171,2159.688,2064.655
2019-03-13,HDFCBANK,EQ,2171.0,2175.0,2234.0,2172.1,2229.0,2226.55,2206.86,14291587,31539499506.0,226692,10926747,76.46,Mar-2019,2.5587286964532607,Positve,2120.614,2197.891,2043.338
2019-03-14,HDFCBANK,EQ,2226.55,2244.85,2247.5,2210.6,2223.05,2224.75,2225.44,3844966,8556754695.15,136351,2318618,60.3,Mar-2019,-0.08084255911613436,Slight or No Change,2128.389,2223.474,2033.305
2019-03-15,HDFCBANK,EQ,2224.75,2231.0,2259.9,2228.05,2258.0,2253.0,2247.38,3190772,7170888264.5,155151,1979190,62.03,Mar-2019,1.269805596134388,Positve,2139.929,2253.178,2026.679
2019-03-18,HDFCBANK,EQ,2253.0,2261.9,2291.65,2247.0,2270.0,2261.45,2266.32,3589680,8135378380.9,186267,2144212,59.73,Mar-2019,0.3750554815801,Slight or No Change,2149.646,2279.637,2019.656
2019-03-19,HDFCBANK,EQ,2261.45,2269.5,2275.9,2251.0,2268.0,2267.75,2262.32,2989498,6763202098.5,149528,2024488,67.72,Mar-2019,0.27858232549913264,Slight or No Change,2160.868,2302.921,2018.815
2019-03-20,HDFCBANK,EQ,2267.75,2269.0,2300.0,2261.05,2299.0,2299.0,2287.11,2927998,6696660989.55,154406,1770484,60.47,Mar-2019,1.3780178591114467,Positve,2175.636,2329.459,2021.812
2019-03-22,HDFCBANK,EQ,2299.0,2300.0,2307.0,2270.8,2275.1,2276.15,2284.13,7600970,17361577310.25,136216,2085675,27.44,Mar-2019,-0.9939103958242712,Slight Negative,2189.821,2341.292,2038.351
2019-03-25,HDFCBANK,EQ,2276.15,2260.0,2287.85,2253.0,2278.0,2281.3,2270.95,2299815,5222754084.55,103519,1528011,66.44,Mar-2019,0.2262592535641428,Slight or No Change,2203.961,2349.456,2058.465
2019-03-26,HDFCBANK,EQ,2281.3,2275.9,2315.0,2272.6,2313.5,2311.35,2293.76,2946712,6759060898.4,106093,1878614,63.75,Mar-2019,1.3172314031473231,Positve,2218.55,2363.166,2073.934
2019-03-27,HDFCBANK,EQ,2311.35,2318.55,2328.05,2279.05,2301.0,2299.45,2306.72,3471325,8007363872.95,186247,2016772,58.1,Mar-2019,-0.5148506284206267,Slight Negative,2232.493,2366.918,2098.067
2019-03-28,HDFCBANK,EQ,2299.45,2298.8,2325.0,2287.85,2308.0,2302.8,2304.15,4888582,11264012692.85,149850,3132999,64.09,Mar-2019,0.14568701211161714,Slight or No Change,2245.086,2369.389,2120.783
2019-03-29,HDFCBANK,EQ,2302.8,2304.6,2325.0,2294.0,2316.0,2318.9,2308.98,2986742,6896338338.65,116289,1706050,57.12,Mar-2019,0.6991488622546393,Slight Positive,2258.707,2368.819,2148.595
2019-04-01,HDFCBANK,EQ,2318.9,2325.25,2332.0,2304.6,2306.85,2311.8,2320.63,2411769,5596835494.0,131919,1528605,63.38,Apr-2019,-0.3061796541463546,Slight or No Change,2271.804,2355.664,2187.943
2019-04-02,HDFCBANK,EQ,2311.8,2320.0,2320.0,2285.45,2299.0,2294.85,2296.22,2727624,6263235078.1,128611,1622376,59.48,Apr-2019,-0.7331949130547688,Slight Negative,2280.65,2341.743,2219.557
2019-04-03,HDFCBANK,EQ,2294.85,2292.1,2316.0,2288.25,2289.0,2292.75,2303.77,1914863,4411401349.85,87245,1110816,58.01,Apr-2019,-0.0915092489705116,Slight or No Change,2285.379,2338.109,2232.648
2019-04-04,HDFCBANK,EQ,2292.75,2292.75,2313.0,2280.0,2287.8,2283.95,2293.66,2302888,5282042066.4,91238,1254011,54.45,Apr-2019,-0.3838185584996268,Slight or No Change,2289.607,2329.27,2249.945
2019-04-05,HDFCBANK,EQ,2283.95,2287.8,2313.75,2282.0,2310.0,2305.6,2293.19,2087795,4787701075.3,109654,1253299,60.03,Apr-2019,0.9479191751132988,Slight Positive,2293.364,2327.696,2259.033
2019-04-08,HDFCBANK,EQ,2305.6,2319.0,2322.95,2280.1,2289.2,2289.4,2298.32,1599533,3676237090.6,84319,911001,56.95,Apr-2019,-0.7026370575988872,Slight Negative,2295.361,2324.566,2266.155
2019-04-09,HDFCBANK,EQ,2289.4,2296.6,2303.0,2267.0,2290.0,2287.25,2283.13,2694400,6151660741.4,97805,1860351,69.05,Apr-2019,-0.0939110684022082,Slight or No Change,2296.754,2321.859,2271.649
2019-04-10,HDFCBANK,EQ,2287.25,2250.0,2284.0,2231.0,2236.9,2237.35,2244.54,27032175,60674893006.85,194475,12397749,45.86,Apr-2019,-2.1816591977265265,Negative,2292.35,2332.735,2251.965
2019-04-11,HDFCBANK,EQ,2237.35,2244.9,2263.0,2236.95,2258.6,2257.5,2252.26,2198325,4951203521.8,82062,1148516,52.25,Apr-2019,0.9006190359130306,Slight Positive,2291.018,2334.793,2247.243
2019-04-12,HDFCBANK,EQ,2257.5,2252.1,2272.2,2252.1,2257.0,2265.25,2262.61,2292611,5187293679.6,107144,1507969,65.78,Apr-2019,0.3433001107419731,Slight or No Change,2289.871,2335.542,2244.2
2019-04-15,HDFCBANK,EQ,2265.25,2270.0,2292.9,2264.35,2280.3,2288.8,2281.07,2554945,5828016960.0,115323,1827587,71.53,Apr-2019,1.0396203509546398,Positve,2288.261,2332.227,2244.294
2019-04-16,HDFCBANK,EQ,2288.8,2290.95,2309.9,2280.3,2307.0,2305.05,2297.97,2068444,4753214286.65,93271,1228448,59.39,Apr-2019,0.7099790283117802,Slight Positive,2288.661,2333.165,2244.157
2019-04-18,HDFCBANK,EQ,2305.05,2313.0,2315.05,2288.0,2293.0,2293.65,2303.58,2653714,6113045771.7,113419,1811847,68.28,Apr-2019,-0.4945662783887639,Slight or No Change,2288.007,2331.881,2244.133
2019-04-22,HDFCBANK,EQ,2293.65,2325.0,2325.0,2261.0,2266.9,2268.7,2286.36,5245105,11992211756.9,153509,2221248,42.35,Apr-2019,-1.087785843524525,Negative,2284.421,2325.538,2243.305
2019-04-23,HDFCBANK,EQ,2268.7,2277.55,2290.0,2241.6,2247.3,2245.3,2264.62,3820600,8652194438.25,157421,2121251,55.52,Apr-2019,-1.0314276898664263,Negative,2279.671,2322.492,2236.85
2019-04-24,HDFCBANK,EQ,2245.3,2250.0,2283.9,2247.05,2280.95,2279.75,2263.98,3088532,6992369872.3,168685,1846136,59.77,Apr-2019,1.5343161270208852,Positve,2278.593,2320.518,2236.667
2019-04-25,HDFCBANK,EQ,2279.75,2286.9,2298.8,2257.95,2262.25,2263.45,2274.13,4521659,10282833886.8,129865,3059269,67.66,Apr-2019,-0.7149906788025073,Slight Negative,2276.5,2318.306,2234.694
2019-04-26,HDFCBANK,EQ,2263.45,2265.9,2285.0,2256.9,2275.8,2280.95,2270.33,2926892,6645017406.0,121538,2070242,70.73,Apr-2019,0.7731560228854129,Slight Positive,2276.286,2317.958,2234.613
2019-04-30,HDFCBANK,EQ,2280.95,2285.0,2320.0,2278.4,2319.0,2317.45,2306.89,3134209,7230268668.8,189638,1946319,62.1,Apr-2019,1.6002104386330318,Positve,2277.132,2321.747,2232.517
2019-05-02,HDFCBANK,EQ,2317.45,2323.5,2359.65,2317.5,2356.0,2355.8,2345.11,4292325,10065974310.35,173788,2770290,64.54,May-2019,1.6548361345444462,Positve,2281.875,2343.124,2220.626
2019-05-03,HDFCBANK,EQ,2355.8,2364.2,2378.0,2356.5,2365.0,2367.95,2370.96,3087880,7321238483.25,97641,2009621,65.08,May-2019,0.5157483657356243,Slight Positive,2287.639,2364.315,2210.964
2019-05-06,HDFCBANK,EQ,2367.95,2348.0,2351.9,2317.05,2327.9,2328.45,2338.56,3437023,8037675313.8,111177,2333530,67.89,May-2019,-1.6681095462319773,Negative,2294.146,2367.842,2220.451
2019-05-07,HDFCBANK,EQ,2328.45,2351.9,2358.0,2318.0,2320.1,2322.35,2338.9,2481051,5802928079.35,114540,1326590,53.47,May-2019,-0.2619768515536025,Slight or No Change,2298.779,2370.682,2226.875
2019-05-08,HDFCBANK,EQ,2322.35,2322.55,2323.8,2288.0,2309.0,2307.25,2304.51,3016052,6950517705.45,101965,1942147,64.39,May-2019,-0.6502034577044791,Slight Negative,2301.779,2371.115,2232.442
2019-05-09,HDFCBANK,EQ,2307.25,2300.0,2300.0,2271.6,2292.0,2290.9,2287.67,2256931,5163123992.15,129719,1470611,65.16,May-2019,-0.708635821865855,Slight Negative,2301.929,2371.153,2232.704
2019-05-10,HDFCBANK,EQ,2290.9,2291.35,2324.9,2291.35,2296.5,2296.5,2306.93,2648550,6110007945.3,79307,1542118,58.22,May-2019,0.2444454144659325,Slight or No Change,2301.318,2370.574,2232.061
2019-05-13,HDFCBANK,EQ,2296.5,2296.05,2313.35,2280.0,2287.3,2287.2,2297.73,2767908,6359892195.65,145875,1652663,59.71,May-2019,-0.4049640757674777,Slight or No Change,2300.857,2370.419,2231.296
